Player,Pos,Age,Tm,G,3P%,2P%,eFG%,FT%,TRB,AST,STL,BLK,TOV,PS/G,Season
Lorenzen Wright\wrighlo02,C,33,CLE,17,,0.37,0.37,0.375,1.5,0.2,0.2,0.3,0.5,1.4,08~09
Chris Wilcox\wilcoch01,C,26,TOT,62,0,0.503,0.497,0.564,4.5,0.8,0.4,0.3,1.2,7.2,08~09
Rasheed Wallace\wallara01,C,34,DET,66,0.354,0.471,0.498,0.772,7.4,1.4,0.9,1.3,0.9,12,08~09
Jake Voskuhl\voskuja01,C,31,TOR,38,,0.267,0.267,0.786,1.6,0.2,0.1,0.1,0.4,0.9,08~09
Ronny Turiaf\turiaro01,C,26,GSW,79,0,0.512,0.508,0.79,4.6,2.1,0.4,2.1,0.9,5.9,08~09
Etan Thomas\thomaet01,C,30,WAS,26,,0.485,0.485,0.696,2.5,0.2,0.1,0.7,0.7,3.1,08~09
Robert Swift\swiftro01,C,23,OKC,26,,0.521,0.521,0.75,3.4,0.3,0.2,0.7,0.3,3.3,08~09
Marreese Speights\speigma01,C,21,PHI,79,0.25,0.506,0.504,0.773,3.7,0.4,0.3,0.7,0.6,7.7,08~09
Darius Songaila\songada01,C,30,WAS,77,0,0.533,0.532,0.889,2.9,1.2,0.8,0.3,1,7.4,08~09
Joe Smith\smithjo02,C,33,TOT,57,0.429,0.469,0.473,0.72,4.6,0.7,0.3,0.7,0.4,6.6,08~09
Courtney Sims\simsco01,C,25,TOT,2,,0.5,0.5,,2,0,0,0,0.5,3,08~09
Mouhamed Sene\senesa01,C,22,TOT,6,,0.667,0.667,0.8,2.3,0,0.2,0.5,0.7,3.3,08~09
Brian Scalabrine\scalabr01,C,30,BOS,39,0.393,0.453,0.526,0.889,1.3,0.5,0.2,0.3,0.3,3.5,08~09
Cheikh Samb\sambch01,C,24,TOT,18,0,0.207,0.188,0.429,1.3,0.1,0.2,0.6,0.2,0.8,08~09
Theo Ratliff\ratlith01,C,35,PHI,46,,0.531,0.531,0.6,2.8,0.2,0.4,1,0.3,1.9,08~09
Joel Przybilla\przybjo01,C,29,POR,82,0,0.627,0.625,0.663,8.7,0.3,0.4,1.2,1,5.5,08~09
Johan Petro\petrojo01,C,23,TOT,49,0,0.42,0.415,0.552,3.2,0.3,0.4,0.3,0.6,3.3,08~09
Kendrick Perkins\perkike01,C,24,BOS,76,0,0.58,0.577,0.6,8.1,1.3,0.3,2,2.2,8.5,08~09
Oleksiy Pecherov\pecheol01,C,23,WAS,32,0.326,0.431,0.455,0.828,2.4,0.1,0.2,0.1,0.3,3.6,08~09
Zaza Pachulia\pachuza01,C,24,ATL,77,0,0.502,0.497,0.709,5.7,0.7,0.5,0.3,1.2,6.2,08~09
Mehmet Okur\okurme01,C,29,UTA,72,0.446,0.497,0.536,0.817,7.7,1.7,0.8,0.7,1.8,17,08~09
Emeka Okafor\okafoem01,C,26,CHA,82,,0.561,0.561,0.593,10.1,0.6,0.6,1.7,1.8,13.2,08~09
Greg Oden\odengr01,C,21,POR,61,,0.564,0.564,0.637,7,0.5,0.4,1.1,1.4,8.9,08~09
Fabricio Oberto\obertfa01,C,33,SAS,54,0,0.592,0.587,0.571,2.6,1.1,0.1,0.2,0.7,2.6,08~09
Shaquille O'Neal*\onealsh01,C,36,PHO,75,0,0.61,0.609,0.595,8.4,1.7,0.7,1.4,2.2,17.8,08~09
Jermaine O'Neal\onealje01,C,30,TOT,68,0,0.475,0.474,0.788,6.4,1.8,0.4,2,2.1,13.3,08~09
Patrick O'Bryant\obryapa01,C,22,TOT,39,0,0.549,0.536,0.55,1.7,0.3,0.2,0.5,0.6,2.6,08~09
Joakim Noah\noahjo01,C,23,CHI,80,0,0.558,0.556,0.676,7.6,1.3,0.6,1.4,1,6.7,08~09
Rasho Nesterovic\nestera01,C,32,IND,70,0,0.514,0.513,0.781,3.4,1.6,0.4,0.5,0.9,6.8,08~09
Dikembe Mutombo*\mutomdi01,C,42,HOU,9,,0.385,0.385,0.667,3.7,0,0,1.2,0.7,1.8,08~09
Randolph Morris\morrira01,C,23,ATL,23,,0.412,0.412,1,0.9,0.1,0.1,0,0.3,0.8,08~09
Nazr Mohammed\mohamna01,C,31,CHA,39,,0.406,0.406,0.55,2,0.2,0.1,0.4,0.6,2.7,08~09
Yao Ming*\mingya01,C,28,HOU,77,1,0.548,0.549,0.866,9.9,1.8,0.4,1.9,3,19.7,08~09
Brad Miller\millebr01,C,32,TOT,70,0.411,0.482,0.494,0.824,7.8,3.3,0.7,0.5,1.9,11.9,08~09
Darko Milicic\milicda01,C,23,MEM,61,,0.515,0.515,0.562,4.3,0.6,0.4,0.8,0.8,5.5,08~09
Chris Mihm\mihmch01,C,29,LAL,18,,0.375,0.375,0.857,1.9,0.6,0.1,0.3,0.6,2,08~09
JaVale McGee\mcgeeja01,C,21,WAS,75,,0.494,0.494,0.66,3.9,0.3,0.4,1,0.8,6.5,08~09
Jason Maxiell\maxieja01,C,25,DET,78,0,0.577,0.575,0.532,4.2,0.3,0.3,0.8,0.6,5.8,08~09
Sean Marks\marksse01,C,33,NOH,60,0.2,0.503,0.491,0.682,3.1,0.2,0.1,0.6,0.6,3.2,08~09
Jamaal Magloire\magloja01,C,30,MIA,55,,0.496,0.496,0.483,4,0.4,0.2,0.5,0.6,2.9,08~09
Mark Madsen\madsema01,C,33,MIN,19,,0.214,0.214,0,0.9,0.2,0.1,0.1,0.2,0.3,08~09
Kevin Love\loveke01,C,20,MIN,81,0.105,0.469,0.461,0.789,9.1,1,0.4,0.6,1.5,11.1,08~09
Robin Lopez\lopezro01,C,20,PHO,60,0,0.522,0.518,0.691,2,0.1,0.2,0.7,0.5,3.2,08~09
Brook Lopez\lopezbr01,C,20,NJN,82,0,0.532,0.531,0.793,8.1,1,0.5,1.8,1.8,13,08~09
David Lee\leeda02,C,25,NYK,81,0,0.551,0.549,0.755,11.7,2.1,1,0.3,1.9,16,08~09
Nenad Krstic\krstine01,C,25,OKC,46,,0.469,0.469,0.797,5.5,0.6,0.5,1.1,1,9.7,08~09
Kosta Koufos\koufoko01,C,19,UTA,48,,0.508,0.508,0.706,2.9,0.4,0.3,0.6,0.5,4.7,08~09
Chris Kaman\kamanch01,C,26,LAC,31,,0.528,0.528,0.68,8,1.5,0.5,1.5,2.7,12,08~09
DeAndre Jordan\jordade01,C,20,LAC,53,,0.633,0.633,0.385,4.5,0.2,0.2,1.1,0.8,4.3,08~09
Solomon Jones\jonesso01,C,24,ATL,63,0.5,0.606,0.608,0.716,2.3,0.2,0.1,0.5,0.4,3,08~09
Al Jefferson\jeffeal01,C,24,MIN,50,0,0.499,0.497,0.738,11,1.6,0.8,1.7,1.8,23.1,08~09
Jerome James\jamesje01,C,33,NYK,2,,0.375,0.375,,1.5,0,0.5,0.5,0.5,3,08~09
Didier Ilunga~Mbenga\mbengdj01,C,28,LAL,23,0,0.482,0.474,0.875,1.3,0.4,0.4,1,0.6,2.7,08~09
Zydrunas Ilgauskas\ilgauzy01,C,33,CLE,65,0.385,0.477,0.483,0.799,7.5,1,0.4,1.3,1.4,12.9,08~09
Dwight Howard\howardw01,C,23,ORL,79,0,0.573,0.572,0.594,13.8,1.4,1,2.9,3,20.6,08~09
Al Horford\horfoal01,C,22,ATL,67,0,0.526,0.525,0.727,9.3,2.4,0.8,1.4,1.5,11.5,08~09
Ryan Hollins\holliry01,C,24,TOT,45,,0.532,0.532,0.597,2.2,0.2,0.2,0.7,0.5,3.2,08~09
Nene Hilario\hilarne01,C,26,DEN,77,0.2,0.607,0.604,0.723,7.8,1.4,1.2,1.3,1.9,14.6,08~09
J.J. Hickson\hicksjj01,C,20,CLE,62,,0.515,0.515,0.672,2.7,0.1,0.2,0.5,0.7,4,08~09
Roy Hibbert\hibbero01,C,22,IND,70,,0.471,0.471,0.667,3.5,0.7,0.3,1.1,0.8,7.1,08~09
Brendan Haywood\haywobr01,C,29,WAS,6,,0.48,0.48,0.476,7.3,1.3,0.7,2.5,1.5,9.7,08~09
Chuck Hayes\hayesch01,C,25,HOU,71,0,0.385,0.372,0.368,3.5,0.6,0.5,0.3,0.4,1.3,08~09
Spencer Hawes\hawessp01,C,20,SAC,77,0.348,0.486,0.491,0.662,7.1,1.9,0.6,1.2,2.1,11.4,08~09
Hamed Haddadi\haddaha01,C,23,MEM,19,,0.484,0.484,0.6,2.5,0.4,0.1,0.6,0.5,2.5,08~09
Aaron Gray\grayaa01,C,24,CHI,56,0,0.488,0.485,0.576,3.9,0.8,0.3,0.3,0.7,3.5,08~09
Pau Gasol\gasolpa01,C,28,LAL,81,0.5,0.567,0.567,0.781,9.6,3.5,0.6,1,1.9,18.9,08~09
Marc Gasol\gasolma01,C,24,MEM,82,0,0.53,0.53,0.733,7.4,1.7,0.8,1.1,2,11.9,08~09
Dan Gadzuric\gadzuda01,C,30,MIL,67,0,0.483,0.48,0.544,3.8,0.6,0.5,0.6,0.6,4,08~09
Adonal Foyle\foylead01,C,33,TOT,10,,0.636,0.636,0.5,2.6,0.1,0,0.8,0.3,1.7,08~09
Jeff Foster\fosteje01,C,32,IND,74,0.286,0.506,0.504,0.658,6.9,1.8,0.7,0.7,1.2,6.1,08~09
Kyrylo Fesenko\fesenky01,C,22,UTA,21,,0.583,0.583,0.333,1.8,0.2,0.3,0.7,0.4,2.3,08~09
Melvin Ely\elyme01,C,30,NOH,31,,0.389,0.389,0.639,2.1,0.6,0.1,0.3,0.7,3.1,08~09
Francisco Elson\elsonfr01,C,32,MIL,59,0.25,0.497,0.494,0.846,3.9,0.5,0.6,0.6,0.8,3.4,08~09
Tim Duncan\duncati01,C,32,SAS,75,0,0.505,0.504,0.692,10.7,3.5,0.5,1.7,2.2,19.3,08~09
DeSagana Diop\diopde01,C,27,TOT,75,,0.433,0.433,0.333,3.6,0.4,0.4,0.7,0.5,2.3,08~09
Glen Davis\davisgl01,C,23,BOS,76,0.4,0.443,0.444,0.73,4,0.9,0.7,0.3,0.9,7,08~09
Erick Dampier\dampier01,C,33,DAL,80,,0.65,0.65,0.638,7.1,1,0.3,1.2,0.9,5.7,08~09
Samuel Dalembert\dalemsa01,C,27,PHI,82,0,0.5,0.498,0.734,8.5,0.2,0.4,1.8,1.4,6.4,08~09
Eddy Curry\curryed01,C,26,NYK,3,,1,1,0.333,1.3,0,0,0,0.7,1.7,08~09
Nick Collison\collini01,C,28,OKC,71,0,0.57,0.568,0.721,6.9,0.9,0.7,0.7,1,8.2,08~09
Jason Collins\collija04,C,30,MIN,31,,0.314,0.314,0.464,2.3,0.4,0.3,0.4,0.4,1.8,08~09
Jarron Collins\collija03,C,30,UTA,26,,0.457,0.457,0.727,1.4,0.3,0.1,0,0.3,1.5,08~09
Tyson Chandler\chandty01,C,26,NOH,45,,0.565,0.565,0.579,8.7,0.5,0.3,1.2,1.6,8.8,08~09
Marcus Camby\cambyma01,C,34,LAC,62,0.25,0.514,0.513,0.725,11.1,2,0.8,2.1,1.5,10.3,08~09
Andrew Bynum\bynuman01,C,21,LAL,50,,0.56,0.56,0.707,8,1.4,0.4,1.8,1.7,14.3,08~09
Kwame Brown\brownkw01,C,26,DET,58,,0.533,0.533,0.516,5,0.6,0.4,0.4,0.9,4.2,08~09
Chris Bosh\boshch01,C,24,TOR,77,0.245,0.497,0.492,0.817,10,2.5,0.9,1,2.3,22.7,08~09
Calvin Booth\boothca01,C,32,TOT,8,,0.5,0.5,0.75,1.4,0,0.1,0.3,0.1,2,08~09
Josh Boone\boonejo01,C,24,NJN,62,,0.528,0.528,0.376,4.2,0.5,0.4,0.8,0.5,4.2,08~09
Andrew Bogut\bogutan01,C,24,MIL,36,,0.577,0.577,0.571,10.3,2,0.6,1,2.4,11.7,08~09
Mark Blount\blounma01,C,33,MIA,20,0.407,0.373,0.455,0.615,2.1,0.2,0.1,0.4,0.7,4,08~09
Andray Blatche\blatcan01,C,22,WAS,71,0.238,0.479,0.475,0.704,5.3,1.7,0.7,1,1.6,10,08~09
Andris Biedrins\biedran01,C,22,GSW,62,0,0.579,0.578,0.551,11.2,2,1,1.5,1.8,11.9,08~09
Brandon Bass\bassbr01,C,23,DAL,81,0,0.502,0.496,0.867,4.5,0.5,0.3,0.7,1.1,8.5,08~09
Hilton Armstrong\armsthi01,C,24,NOH,70,0,0.566,0.561,0.633,2.8,0.4,0.4,0.6,1.1,4.8,08~09
Joel Anthony\anthojo01,C,26,MIA,65,,0.483,0.483,0.652,3,0.4,0.3,1.4,0.6,2.2,08~09
Chris Andersen\anderch01,C,30,DEN,71,0.2,0.56,0.551,0.718,6.2,0.4,0.6,2.5,1,6.4,08~09
Rasheed Wallace\wallara01,C,35,BOS,79,0.283,0.511,0.472,0.768,4.1,1,1,0.9,0.8,9,09~10
Ben Wallace\wallabe01,C,35,DET,69,0,0.545,0.541,0.406,8.7,1.5,1.2,1.2,0.9,5.5,09~10
Ronny Turiaf\turiaro01,C,27,GSW,42,0,0.586,0.582,0.474,4.5,2.1,0.5,1.3,1.2,4.9,09~10
Jason Thompson\thompja02,C,23,SAC,75,0.1,0.477,0.473,0.715,8.5,1.7,0.5,1,1.9,12.5,09~10
Kurt Thomas\thomaku01,C,37,MIL,70,,0.476,0.476,0.8,4.2,0.7,0.4,0.7,0.7,3,09~10
Etan Thomas\thomaet01,C,31,OKC,23,,0.456,0.456,0.591,2.8,0,0.2,0.7,0.8,3.3,09~10
Hasheem Thabeet\thabeha01,C,22,MEM,68,,0.588,0.588,0.581,3.6,0.2,0.2,1.3,0.6,3.1,09~10
Marreese Speights\speigma01,C,22,PHI,62,0,0.483,0.477,0.745,4.1,0.6,0.5,0.5,0.8,8.6,09~10
Darius Songaila\songada01,C,31,NOH,75,0.167,0.498,0.495,0.811,3.1,0.9,0.8,0.2,1.1,7.2,09~10
Theo Ratliff\ratlith01,C,36,TOT,49,,0.461,0.461,0.76,3.2,0.5,0.2,1.2,0.8,3.6,09~10
Anthony Randolph\randoan01,C,20,GSW,33,0.2,0.447,0.445,0.801,6.5,1.3,0.8,1.5,1.5,11.6,09~10
Joel Przybilla\przybjo01,C,30,POR,30,,0.523,0.523,0.647,7.9,0.3,0.3,1.4,1.3,4.1,09~10
Johan Petro\petrojo01,C,24,DEN,36,0,0.54,0.535,0.667,3.6,0.4,0.3,0.4,0.6,3.4,09~10
Kendrick Perkins\perkike01,C,25,BOS,78,0,0.605,0.602,0.582,7.6,1,0.3,1.7,2.1,10.1,09~10
Oleksiy Pecherov\pecheol01,C,24,MIN,44,0.269,0.463,0.447,0.906,2.8,0.3,0.2,0.3,0.7,4.5,09~10
Zaza Pachulia\pachuza01,C,25,ATL,78,0,0.496,0.488,0.65,3.8,0.5,0.5,0.4,0.7,4.3,09~10
Mehmet Okur\okurme01,C,30,UTA,73,0.385,0.486,0.511,0.82,7.1,1.6,0.5,1.1,1.7,13.5,09~10
Emeka Okafor\okafoem01,C,27,NOH,82,,0.53,0.53,0.562,9,0.7,0.7,1.5,1.4,10.4,09~10
Greg Oden\odengr01,C,22,POR,21,,0.605,0.605,0.766,8.5,0.9,0.4,2.3,1.9,11.1,09~10
Fabricio Oberto\obertfa01,C,34,WAS,57,,0.625,0.625,0.765,1.8,0.9,0.2,0.2,0.6,1.5,09~10
Shaquille O'Neal*\onealsh01,C,37,CLE,53,0,0.567,0.566,0.496,6.7,1.5,0.3,1.2,2,12,09~10
Jermaine O'Neal\onealje01,C,31,MIA,70,0,0.53,0.529,0.72,6.9,1.3,0.4,1.4,1.8,13.6,09~10
Patrick O'Bryant\obryapa01,C,23,TOR,11,0,0.571,0.533,0.5,1,0.1,0.2,0.4,0.5,1.7,09~10
Joakim Noah\noahjo01,C,24,CHI,64,,0.504,0.504,0.744,11,2.1,0.5,1.6,1.8,10.7,09~10
Rasho Nesterovic\nestera01,C,33,TOR,42,,0.544,0.544,0.2,2.1,0.6,0.2,0.4,0.4,3.9,09~10
Mikki Moore\mooremi01,C,34,GSW,23,,0.6,0.6,0.636,3,1.6,0.2,0.6,0.9,5,09~10
Nazr Mohammed\mohamna01,C,32,CHA,58,,0.553,0.553,0.648,5.2,0.5,0.3,0.7,0.9,7.9,09~10
Brad Miller\millebr01,C,33,CHI,82,0.28,0.474,0.462,0.827,4.9,1.9,0.5,0.4,1.3,8.8,09~10
Darko Milicic\milicda01,C,24,TOT,32,0,0.493,0.49,0.536,4.7,1.5,0.7,1.1,1.1,6.7,09~10
Josh McRoberts\mcrobjo01,C,22,IND,42,0.348,0.553,0.548,0.5,3,1,0.4,0.4,0.5,4.3,09~10
JaVale McGee\mcgeeja01,C,22,WAS,60,0,0.51,0.508,0.638,4.1,0.2,0.3,1.7,0.9,6.4,09~10
Sean May\mayse01,C,25,SAC,37,0,0.477,0.459,0.656,1.9,0.5,0.3,0.2,0.5,3.3,09~10
Jason Maxiell\maxieja01,C,26,DET,76,0,0.512,0.511,0.574,5.3,0.5,0.5,0.5,0.9,6.8,09~10
Sean Marks\marksse01,C,34,NOH,14,,0.5,0.5,0.4,1.6,0.1,0,0.2,0.1,0.7,09~10
Ian Mahinmi\mahinia01,C,23,SAS,26,,0.636,0.636,0.66,2,0.1,0.1,0.3,0.6,3.9,09~10
Jamaal Magloire\magloja01,C,31,MIA,36,,0.5,0.5,0.356,3.4,0,0.3,0.3,0.5,2.1,09~10
Robin Lopez\lopezro01,C,21,PHO,51,,0.588,0.588,0.704,4.9,0.1,0.2,1,0.8,8.4,09~10
Brook Lopez\lopezbr01,C,21,NJN,82,0,0.5,0.499,0.817,8.6,2.3,0.7,1.7,2.5,18.8,09~10
David Lee\leeda02,C,26,NYK,81,0,0.549,0.545,0.812,11.7,3.6,1,0.5,2.3,20.2,09~10
Nenad Krstic\krstine01,C,26,OKC,76,0.2,0.505,0.503,0.717,5,0.7,0.4,0.6,0.8,8.4,09~10
Kosta Koufos\koufoko01,C,20,UTA,36,,0.468,0.468,0.6,1.3,0.2,0.1,0.1,0.4,1.5,09~10
Chris Kaman\kamanch01,C,27,LAC,76,0,0.492,0.49,0.749,9.3,1.6,0.5,1.2,2.9,18.5,09~10
DeAndre Jordan\jordade01,C,21,LAC,70,0,0.61,0.605,0.375,5,0.3,0.2,0.9,1.1,4.8,09~10
Solomon Jones\jonesso01,C,25,IND,52,0,0.451,0.443,0.718,2.8,0.6,0.3,0.7,0.8,4,09~10
Al Jefferson\jeffeal01,C,25,MIN,76,0,0.5,0.498,0.68,9.3,1.8,0.8,1.3,1.8,17.1,09~10
Nathan Jawai\jawaina01,C,23,MIN,39,0,0.445,0.441,0.684,2.7,0.6,0.3,0.2,0.7,3.2,09~10
Didier Ilunga~Mbenga\mbengdj01,C,29,LAL,49,,0.466,0.466,0.474,1.8,0.2,0.1,0.6,0.3,2.1,09~10
Zydrunas Ilgauskas\ilgauzy01,C,34,CLE,64,0.478,0.441,0.455,0.743,5.4,0.8,0.2,0.8,1,7.4,09~10
Steven Hunter\huntest01,C,28,MEM,21,,0.395,0.395,0.528,2,0,0,0.5,0.4,2.5,09~10
Chris Hunter\huntech01,C,25,GSW,60,0,0.512,0.502,0.754,2.8,0.6,0.2,0.6,0.5,4.5,09~10
Juwan Howard\howarju01,C,36,POR,73,0,0.511,0.509,0.786,4.6,0.8,0.4,0.1,1,6,09~10
Dwight Howard\howardw01,C,24,ORL,82,0,0.617,0.612,0.592,13.2,1.8,0.9,2.8,3.3,18.3,09~10
Al Horford\horfoal01,C,23,ATL,81,1,0.551,0.552,0.789,9.9,2.3,0.7,1.1,1.5,14.2,09~10
Ryan Hollins\holliry01,C,25,MIN,73,0,0.56,0.558,0.69,2.8,0.7,0.3,0.5,1.3,6.1,09~10
Nene Hilario\hilarne01,C,27,DEN,82,0,0.589,0.587,0.704,7.6,2.5,1.4,1,1.5,13.8,09~10
Roy Hibbert\hibbero01,C,23,IND,81,0.5,0.495,0.497,0.754,5.7,2,0.4,1.6,1.8,11.7,09~10
Brendan Haywood\haywobr01,C,30,TOT,77,0,0.563,0.562,0.62,9.3,0.6,0.3,2.1,1.3,9.1,09~10
Chuck Hayes\hayesch01,C,26,HOU,82,,0.489,0.489,0.545,5.7,1.7,0.9,0.5,0.9,4.4,09~10
Spencer Hawes\hawessp01,C,21,SAC,72,0.299,0.494,0.488,0.689,6.1,2.2,0.4,1.2,1.8,10,09~10
Hamed Haddadi\haddaha01,C,24,MEM,36,0,0.407,0.387,0.737,2.1,0.3,0,0.4,0.6,1.7,09~10
Aaron Gray\grayaa01,C,25,TOT,32,,0.512,0.512,0.714,3.3,0.7,0.3,0.3,0.6,3.3,09~10
Marcin Gortat\gortama01,C,25,ORL,81,0,0.54,0.533,0.68,4.2,0.2,0.2,0.9,0.6,3.6,09~10
Pau Gasol\gasolpa01,C,29,LAL,65,0,0.539,0.536,0.79,11.3,3.4,0.6,1.7,2.2,18.3,09~10
Marc Gasol\gasolma01,C,25,MEM,69,0,0.582,0.581,0.67,9.3,2.4,1,1.6,2,14.6,09~10
Dan Gadzuric\gadzuda01,C,31,MIL,32,,0.438,0.438,0.4,2.9,0.4,0.3,0.4,0.5,2.8,09~10
Channing Frye\fryech01,C,26,PHO,81,0.439,0.466,0.573,0.81,5.3,1.4,0.8,0.9,0.9,11.2,09~10
Jeff Foster\fosteje01,C,33,IND,16,0,0.489,0.478,0.556,5.1,1.3,0.2,0.3,0.9,3.1,09~10
Kyrylo Fesenko\fesenky01,C,23,UTA,49,0,0.553,0.547,0.421,1.8,0.3,0.1,0.4,0.5,2.6,09~10
Francisco Elson\elsonfr01,C,33,TOT,12,,0.333,0.333,0.4,1.2,0.2,0.1,0,0.1,1,09~10
Tim Duncan\duncati01,C,33,SAS,78,0.182,0.522,0.519,0.725,10.1,3.2,0.6,1.5,1.8,17.9,09~10
DeSagana Diop\diopde01,C,28,CHA,27,,0.517,0.517,0.222,2.4,0.2,0.2,0.5,0.4,1.2,09~10
Erick Dampier\dampier01,C,34,DAL,55,0.333,0.629,0.627,0.604,7.3,0.6,0.3,1.4,1.1,6,09~10
Samuel Dalembert\dalemsa01,C,28,PHI,82,,0.545,0.545,0.729,9.6,0.8,0.5,1.8,1.5,8.1,09~10
Eddy Curry\curryed01,C,27,NYK,7,,0.381,0.381,0.588,1.9,0,0,0.1,1.9,3.7,09~10
Nick Collison\collini01,C,29,OKC,75,0.25,0.593,0.591,0.692,5.1,0.5,0.5,0.6,0.8,5.9,09~10
Jason Collins\collija04,C,31,ATL,24,0,0.364,0.348,0,0.6,0.2,0.1,0.1,0.2,0.7,09~10
Jarron Collins\collija03,C,31,PHO,34,,0.387,0.387,0.4,1.8,0.2,0.1,0.1,0.3,1,09~10
Tyson Chandler\chandty01,C,27,CHA,51,,0.574,0.574,0.732,6.3,0.3,0.3,1.1,1.8,6.5,09~10
Andrew Bynum\bynuman01,C,22,LAL,65,0,0.571,0.57,0.739,8.3,1,0.5,1.4,1.8,15,09~10
Kwame Brown\brownkw01,C,27,DET,48,0,0.504,0.5,0.337,3.7,0.5,0.3,0.3,0.9,3.3,09~10
Primoz Brezec\brezepr01,C,30,TOT,21,,0.346,0.346,0.167,1.2,0,0,0.1,0.1,0.9,09~10
Chris Bosh\boshch01,C,25,TOR,70,0.364,0.521,0.522,0.797,10.8,2.4,0.6,1,2.4,24,09~10
Andrew Bogut\bogutan01,C,25,MIL,69,0,0.521,0.52,0.629,10.2,1.8,0.6,2.5,1.9,15.9,09~10
Andris Biedrins\biedran01,C,23,GSW,33,,0.591,0.591,0.16,7.8,1.7,0.6,1.3,1,5,09~10
Tony Battie\battito01,C,33,NJN,15,0.25,0.361,0.363,0.7,1.5,0.2,0.3,0.1,0.2,2.4,09~10
Earl Barron\barroea01,C,28,NYK,7,,0.441,0.441,0.759,11,1.1,0.6,0.6,1.6,11.7,09~10
Jeff Ayres\pendeje02,C,22,POR,39,,0.662,0.662,0.9,2.5,0,0.2,0.4,0.3,2.7,09~10
Joel Anthony\anthojo01,C,27,MIA,80,,0.478,0.478,0.717,3.1,0.2,0.3,1.4,0.6,2.7,09~10
David Andersen\anderda03,C,29,HOU,63,0.346,0.458,0.472,0.687,3.3,0.7,0.2,0.2,0.6,5.8,09~10
Alexis Ajinca\ajincal01,C,21,CHA,6,,0.5,0.5,0,0.7,0,0.2,0.2,0.3,1.7,09~10
Hassan Whiteside\whiteha01,C,21,SAC,1,,,,,0,0,0,0,0,0,10~11
Ben Wallace\wallabe01,C,36,DET,54,0.5,0.449,0.453,0.333,6.5,1.3,1,1,0.8,2.9,10~11
Anderson Varejao\varejan01,C,28,CLE,31,0,0.533,0.528,0.667,9.7,1.5,0.9,1.2,1.3,9.1,10~11
Ekpe Udoh\udohek01,C,23,GSW,58,,0.437,0.437,0.656,3.1,0.7,0.4,1.5,0.8,4.1,10~11
Ronny Turiaf\turiaro01,C,28,NYK,64,,0.632,0.632,0.622,3.2,1.4,0.5,1.1,0.6,4.2,10~11
Tyrus Thomas\thomaty01,C,24,CHA,41,0,0.476,0.471,0.787,5.5,0.7,0.7,1.6,1.6,10.2,10~11
Etan Thomas\thomaet01,C,32,ATL,13,,0.476,0.476,0.8,1.8,0.2,0.1,0.3,0.4,2.5,10~11
Hasheem Thabeet\thabeha01,C,23,TOT,47,,0.425,0.425,0.543,1.6,0.1,0.2,0.3,0.4,1.1,10~11
Amar'e Stoudemire\stoudam01,C,28,NYK,78,0.435,0.503,0.505,0.792,8.2,2.6,0.9,1.9,3.2,25.3,10~11
Tiago Splitter\splitti01,C,26,SAS,60,0,0.532,0.529,0.543,3.4,0.4,0.5,0.3,0.5,4.6,10~11
Marreese Speights\speigma01,C,23,PHI,64,0.25,0.498,0.497,0.753,3.3,0.5,0.1,0.3,0.6,5.4,10~11
Darius Songaila\songada01,C,32,PHI,10,,0.467,0.467,0.5,1,0.2,0,0,0.4,1.6,10~11
Jason Smith\smithja02,C,24,NOH,77,0,0.446,0.443,0.843,3.1,0.5,0.3,0.4,0.7,4.3,10~11
Brian Skinner\skinnbr01,C,34,MIL,2,,,,,0,0,0,0,0,0,10~11
Garret Siler\silerga01,C,24,PHO,21,,0.548,0.548,0.5,1.3,0.1,0,0.2,0.5,2.1,10~11
Larry Sanders\sandela01,C,22,MIL,60,,0.433,0.433,0.56,3,0.3,0.4,1.2,0.6,4.3,10~11
Theo Ratliff\ratlith01,C,37,LAL,10,,0.167,0.167,0,1.3,0.3,0.2,0.5,0.3,0.2,10~11
Joel Przybilla\przybjo01,C,31,TOT,36,,0.568,0.568,0.519,4,0.4,0.1,0.4,0.8,1.8,10~11
Dexter Pittman\pittmde01,C,22,MIA,2,,0.333,0.333,,1.5,0,0,0,1,1,10~11
Johan Petro\petrojo01,C,25,NJN,77,0,0.451,0.445,0.536,2.8,0.6,0.4,0.4,0.6,3.5,10~11
Kendrick Perkins\perkike01,C,26,TOT,29,,0.515,0.515,0.556,8,0.9,0.3,0.9,1.9,6,10~11
Nikola Pekovic\pekovni01,C,25,MIN,65,,0.517,0.517,0.763,3,0.4,0.3,0.5,1.4,5.5,10~11
Zaza Pachulia\pachuza01,C,26,ATL,79,,0.461,0.461,0.754,4.2,0.7,0.4,0.3,0.9,4.4,10~11
Mehmet Okur\okurme01,C,31,UTA,13,0.313,0.37,0.395,0.75,2.3,1.5,0.3,0.3,0.5,4.9,10~11
Emeka Okafor\okafoem01,C,28,NOH,72,0,0.574,0.573,0.562,9.5,0.6,0.6,1.8,1.7,10.3,10~11
Fabricio Oberto\obertfa01,C,35,POR,5,,0.6,0.6,0.5,1.4,0,0,0,0.6,1.4,10~11
Shaquille O'Neal*\onealsh01,C,38,BOS,37,,0.667,0.667,0.557,4.8,0.7,0.4,1.1,1.5,9.2,10~11
Jermaine O'Neal\onealje01,C,32,BOS,24,0,0.463,0.459,0.674,3.7,0.5,0.1,1.3,1.1,5.4,10~11
